Cust ID,Cust Name,Cust State,Emp ID,Employee Job Title,Employee Name,Order Date,Order Num,Order Type,Prod Category,Prod Name,Prod Number,Sales Region,Number of Records,Order Total,Price,Quantity
2853,Ewan Ladd,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2017-09-03,1100948,Retail,Training Videos,Understanding Automation,TV810,N Central East,1,44.95,44.95,1
3557,Lockman Group,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2017-09-24,1101096,Wholesale,Blueprints,Cat Robot Blueprint,BP104,N Central East,1,49.9,4.99,10
4036,Romaguera LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2017-10-01,1101138,Wholesale,Drones,DX-145 Drone,DS306,N Central East,1,1000,250,4
4377,Vern Hodkiewicz,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2017-10-03,1101158,Retail,Drones,DX-145 Drone,DS306,N Central East,1,250,250,1
3822,Nolan Wirth,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2017-10-09,1101181,Retail,eBooks,Drone Building Essentials,EB507,N Central East,1,13.99,13.99,1
3908,Predovic LLC,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2017-10-31,1101354,Wholesale,Training Videos,Industrial 3D Printing,TV805,N Central East,1,392,49,8
3091,Heath Pretswell,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2017-11-18,1101475,Retail,Robots,RXW-9807 Robot,RS707,N Central East,1,599,599,1
4422,Waters Co.,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,2017-11-22,1101495,Wholesale,Robots,MICR-23K Robot,RS702,N Central East,1,11687,899,13
2143,Aaron Homenick,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,2017-12-18,1101685,Retail,Drone Kits,BYOD-400,DK206,N Central East,1,119,119,1
3465,Kuvalis Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2017-12-27,1101743,Wholesale,Drone Kits,BYOD-550,DK209,N Central East,1,1074,179,6
3477,Langosh Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-01-08,1101825,Wholesale,Robot Kits,BYOR-1500,RK603,N Central East,1,756,189,4
2304,Bashirian International,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,2018-01-09,1101839,Wholesale,Training Videos,Cloud Computing,TV803,N Central East,1,239.92,29.99,8
3409,Kessler Inc.,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-01-19,1101902,Wholesale,Blueprints,Panda Robot Blueprint,BP108,N Central East,1,39.95,7.99,5
3104,Heller Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-01-22,1101926,Wholesale,Training Videos,Cloud Computing,TV803,N Central East,1,179.94,29.99,6
3735,Mitchell Hayes,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2018-01-25,1101945,Retail,eBooks,GPS Drones,EB509,N Central East,1,19.99,19.99,1
3085,Hayes LLC,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,2018-02-12,1102052,Wholesale,Blueprints,Cat Robot Blueprint,BP104,N Central East,1,29.94,4.99,6
2344,Bergnaum Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-02-18,1102085,Wholesale,eBooks,Building Your Own Drone,EB503,N Central East,1,224.91,24.99,9
2280,Aufderhar Tech,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2018-03-09,1102227,Wholesale,eBooks,Drone Building Essentials,EB507,N Central East,1,209.85,13.99,15
3153,Hudson LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-03-21,1102305,Wholesale,Training Videos,Drone Video Techniques,TV804,N Central East,1,341.91,37.99,9
3431,Koch LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-03-21,1102306,Wholesale,eBooks,Delta Robots,EB506,N Central East,1,101.94,16.99,6
4410,Walker Group,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-04-11,1102439,Wholesale,Blueprints,Hexacopter Drone Blueprint,BP106,N Central East,1,80.91,8.99,9
3231,Janene Olivia,Wisconsin,900015476,Senior Sales Associate,Alexis Golsworthy,2018-04-15,1102469,Retail,Robots,RLK-9920 Robot,RS704,N Central East,1,1398,699,2
3008,Green-Shields,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-05-02,1102578,Wholesale,Drones,DTD-7000 Drone,DS303,N Central East,1,2250,450,5
2431,Bryana Reedshaw,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,2018-05-15,1102680,Retail,Blueprints,Hexacopter Drone Blueprint,BP106,N Central East,1,8.99,8.99,1
4491,Zebadiah Kinsey,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-05-18,1102697,Retail,Blueprints,Creature Robot Arms Blueprint,BP105,N Central East,1,12,12,1
4435,White Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-05-25,1102745,Wholesale,Blueprints,Ladybug Robot Blueprint,BP107,N Central East,1,108,12,9
3596,MacGyver Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-07-01,1103009,Wholesale,Robot Kits,BYOR-1000,RK602,N Central East,1,1512,189,8
2780,Edwina Roubert,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2018-07-07,1103056,Retail,Training Videos,AI for Educators,TV802,N Central East,1,49.95,49.95,1
3650,Mary Jast,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2018-07-26,1103206,Retail,Robot Kits,BYOR-1000,RK602,N Central East,1,189,189,1
2319,Beier Inc.,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2018-07-27,1103219,Wholesale,Drone Kits,BYOD-220,DK203,N Central East,1,3657,69,53
3860,Paolo Gadaud,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-08-03,1103275,Retail,eBooks,Fixed Wing Drones,EB508,N Central East,1,15.5,15.5,1
3316,Joeseph Douglas,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2018-08-05,1103291,Retail,Robots,RWW-75 Robot,RS706,N Central East,1,883,883,1
3721,Milly Parrot,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,2018-08-05,1103289,Retail,eBooks,Delta Robots,EB506,N Central East,1,16.99,16.99,1
2232,Andriana Campes,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2018-08-07,1103301,Retail,eBooks,Drone Building Essentials,EB507,N Central East,1,13.99,13.99,1
2265,Artair Stratiff,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2018-08-22,1103413,Retail,eBooks,Spherical Robots,EB519,N Central East,1,16.75,16.75,1
3008,Green-Shields,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-09-12,1103565,Wholesale,eBooks,Delta Robots,EB506,N Central East,1,101.94,16.99,6
3477,Langosh Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2018-10-16,1103780,Wholesale,eBooks,Fixed Wing Drones,EB508,N Central East,1,124,15.5,8
3710,Mickie Imlen,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-10-17,1103787,Retail,Training Videos,Understanding Automation,TV810,N Central East,1,44.95,44.95,1
4036,Romaguera LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2018-10-18,1103799,Wholesale,Training Videos,Understanding Automation,TV810,N Central East,1,3506.1,44.95,78
3647,Marvin Inc.,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2018-11-02,1103887,Wholesale,Robots,RXW-9807 Robot,RS707,N Central East,1,3594,599,6
3189,Issy Battison,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2018-11-20,1104015,Retail,Training Videos,Drone Video Techniques,TV804,N Central East,1,37.99,37.99,1
2353,Bertrand Pusill,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,2018-12-04,1104089,Retail,Robots,RXW-9807 Robot,RS707,N Central East,1,599,599,1
2737,Dorey Gonzales,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2018-12-23,1104242,Retail,Robot Kits,BYOR-3535,RK606,N Central East,1,222,222,1
4410,Walker Group,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2019-01-02,1104323,Wholesale,Drones,MICR-564K Drone,DS307,N Central East,1,2495,499,5
4361,Ullrich Inc.,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2019-01-11,1104380,Wholesale,Blueprints,Cat Robot Blueprint,BP104,N Central East,1,39.92,4.99,8
2565,Connelly LLC,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,2019-01-19,1104420,Retail,eBooks,GPS Drones,EB509,N Central East,1,79.96,19.99,4
2403,Brenda Murray,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,2019-01-21,1104433,Retail,eBooks,Building Your Own Drone,EB503,N Central East,1,24.99,24.99,1
3403,Kenon Hatwell,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2019-01-26,1104457,Retail,Training Videos,Industrial 3D Printing,TV805,N Central East,1,49,49,1
2229,Anderson LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2019-02-16,1104578,Wholesale,Robot Kits,BYOR-3535,RK606,N Central East,1,1800,225,8
4468,Wylie Candy,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,2019-03-13,1104768,Retail,Drone Kits,BYOD-550,DK209,N Central East,1,179,179,1
2345,Bergstrom LLC,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2019-03-20,1104819,Wholesale,eBooks,Understanding Arduino,EB520,N Central East,1,122.5,17.5,7
2476,Cartwright LLC,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2019-03-23,1104837,Wholesale,Drone Kits,BYOD-300,DK204,N Central East,1,1157,89,13
3008,Green-Shields,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2019-04-02,1104910,Wholesale,Drones,DTI-84 Drone,DS305,N Central East,1,42315,455,93
2490,Cathrine Martlew,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,2019-04-05,1104934,Retail,Drones,DC-304 Drone,DS302,N Central East,1,395,395,1
4361,Ullrich Inc.,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,2019-04-27,1105086,Wholesale,Blueprints,Cat Robot Blueprint,BP104,N Central East,1,44.91,4.99,9
3908,Predovic LLC,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2019-05-08,1105153,Wholesale,Robots,RWW-75 Robot,RS706,N Central East,1,35320,883,40
4000,Rippin Industries,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,2019-05-31,1105307,Wholesale,eBooks,Cartesian Robots,EB504,N Central East,1,64.95,12.99,5
4347,Trevar Measures,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,2019-06-03,1105330,Retail,eBooks,Building Your Own Drone,EB503,N Central East,1,24.99,24.99,1
